They met again in the <b>spring</b> of 1977.	We planted bulbs to flower in <b>spring</b>.	T
That man was appointed as the new <b>trainer</b>.	That man was appointed as the new <b>coach</b>.	T
Unlike a baseball <b>stick</b> a cricket one has an edge which is significantly sharper.	<b>Chiropterans</b> are more manoeuvrable than birds.	F
I used to work in the local branch of a large <b>bank</b>.	I used to work in the local branch of a large <b>financial institution</b>.	T
She has recently joined the amateur team as <b>coach</b>.	That man was appointed as the new <b>trainer</b>.	T
I thought I felt a <b>drop</b> of rain.	Her weight <b>fell</b> to under seven stones.	F
The current <b>ruler</b> is concentrating all power in his own hands. 	The country was without a <b>potentate</b> after the queen died.	T
Keep your <b>fingernails</b> short and your hands clean.	He fixed it with three <b>tacks</b>.	F
A mirror hung on a <b>tack</b> above the washstand.	Keep your <b>nails</b> short and your hands clean.	F
I <b>lower</b> the head to hide my admiration.	He <b>ducked</b> in time to save his head from a blow from the poker.	T
That man was appointed as the new <b>president</b>.	That man was appointed as the new <b>trainer</b>.	F
His goal gave them a two-goal <b>lead</b> once more time.	They now have a <b>debt</b> of 28 points.	F
They now have an <b>advantage</b> of 28 points.	They now have a <b>lead</b> of 28 points.	T
The cat wants to <b>spring</b> onto the sofa.	They met again in the <b>spring</b> of 1977.	F
He wiped away the <b>beads</b> of sweat on his forehead.	I thought I felt a <b>drop</b> of rain.	T
We planted bulbs to flower in <b>spring</b>.	Throwing back the sheet, he <b>springs</b> from the bed.	F
Temperatures can <b>fall</b> to freezing at night.	Temperatures can <b>increase</b> to freezing at night.	F
Most <b>rulers</b> work by having numbers and little lines.	Most <b>mathematicians</b> work by having numbers and little lines.	F
A <b>band</b> of light glowed in the space between floor and door.	A <b>strip</b> of light glowed in the space between floor and door.	T
She picked up a <b>stick</b> and threw it into the trees.	Use that <b>stone</b> there to hold the door open.	F
It would be difficult to <b>worsen</b> the service this airline gives its customers.	It would be difficult to <b>equal</b> the service this airline gives its customers.	F
She showed me how to hold the <b>stick</b>.	<b>Chiropterans</b> are more manoeuvrable than birds.	F
He hammered the <b>nail</b> into the branch.	Please stop biting your <b>nails</b>!	F
He was watching a football <b>match</b>.	It would be difficult to <b>equal</b> the service this airline gives its customers.	F
You should always strike a <b>match</b> away from you.	He was watching a football <b>match</b>.	F
I would <b>sleep</b> when I got back to the hotel.	I would <b>phone</b> when I got back to the hotel.	F
Most <b>measurers</b> work by having numbers and little lines.	The current <b>ruler</b> is concentrating all power in his own hands. 	F
The player who scores the next point after deuce has the <b>advantage</b>.	She lifted the <b>lead</b> again.	F
It would be difficult to <b>match</b> the service this airline gives its customers.	It would be difficult to <b>equal</b> the service this airline gives its customers.	T
She <b>lowered</b> her gaze to the hands in her lap.	The <b>drakes</b> started quacking loudly when we threw them some bread.	F
How do credit unions differ from other <b>financial institutions</b>?	I used to work in the local branch of a large <b>financial institution</b>.	T
A lone <b>drake</b> sat by the edge of the pond.	He <b>ducked</b> in time to save his head from a blow from the poker.	F
I would <b>phone</b> when I got back to the hotel.	He bought her an emerald <b>ring</b>.	F
<b>Bats</b> are more manoeuvrable than birds.	I accidentally bashed him with my <b>bat</b>.	F
Both <b>springs</b> in the fuel pump were broken.	Cherry trees bloom in the <b>springtime</b>.	F
The current <b>ruler</b> is concentrating all power in his own hands. 	<b>Rulers</b> can be made of plastic, metal, and other materials.	F
He <b>ducked</b> in time to save his head from a blow from the poker.	Chickens and <b>ducks</b> scratch around the outbuildings.	F
This week the <b>band</b> did the last gig of their tour.	A <b>strip</b> of light glowed in the space between floor and door.	F
She has recently joined the amateur team as <b>coach</b>.	That man was appointed as the new <b>president</b>.	F
You should always strike a <b>match</b> away from you.	We raised a lot of money last year and we're hoping to <b>equal</b> that this year.	F
That man was appointed as the new <b>president</b>.	That man was appointed as the new <b>coach</b>.	F
She <b>lowered</b> her gaze to the hands in her lap.	I <b>lower</b> the head to hide my admiration.	T
The <b>drakes</b> started quacking loudly when we threw them some bread.	I <b>lower</b> the head to hide my admiration.	F
She showed me how to hold the <b>stick</b>.	Any mammal, of the order <b>Chiroptera</b>, that has forelimbs modified to form wings.	F
They bough two boxes of <b>cereal</b>.	They bough two boxes of <b>matches</b>.	F
A mirror hung on a <b>tack</b> above the washstand.	Keep your <b>fingernails</b> short and your hands clean.	F
They were probably the most famous <b>ensemble</b> in the world.	They were probably the most famous <b>engineers</b> in the world.	F
Keep your <b>fingernails</b> short and your hands clean.	She had long red <b>fingernails</b>.	T
Keep your <b>nails</b> short and your hands clean.	Keep your <b>hair</b> short and your hands clean.	F
She once told an interviewer that they didn't even like <b>rock</b> music.	Use that <b>stone</b> there to hold the door open.	F
Add the cream a few <b>beads</b> at a time..	Add the cream a few <b>drops</b> at a time..	T
We planted bulbs to flower in <b>springtime</b>.	They met again in the <b>spring</b> of 1977.	T
Throwing back the sheet, he <b>springs</b> from the bed.	A <b>spring</b> popped out of the watch.	F
They need a new <b>trainer</b> for the young athletes.	That man was appointed as the new <b>coach</b>.	T
They bough two boxes of <b>matches</b>.	Do you really think our team has a chance of <b>matching</b> their score?	F
It would be difficult to <b>worsen</b> the service this airline gives its customers.	It would be difficult to <b>match</b> the service this airline gives its customers.	F
She had long red <b>fingernails</b>.	He hammered the <b>nail</b> into the branch.	F
Any mammal, of the order <b>Chiroptera</b>, that has forelimbs modified to form wings.	Due to their physiology, <b>bats</b> are one type of animal that acts as a natural reservoir of many pathogens.	T
She <b>lowered</b> her gaze to the hands in her lap.	I <b>duck</b> the head to hide my admiration.	T
He bought her an emerald <b>ring</b>.	I would <b>ring</b> when I got back to the hotel.	F
We planted bulbs to flower in <b>spring</b>.	We planted bulbs to flower in <b>summer</b>.	F
Keep your <b>nails</b> short and your hands clean.	She had long red <b>fingernails</b>.	T
Add the cream a few <b>beads</b> at a time..	Her weight <b>fell</b> to under seven stones.	F
Temperatures can <b>drop</b> to freezing at night.	I thought I felt a <b>drop</b> of rain.	F
A <b>band</b> of light glowed in the space between floor and door.	This week the <b>band</b> did the last gig of their tour.	F
They were probably the most famous <b>ensemble</b> in the world.	A <b>strip</b> of light glowed in the space between floor and door.	F
You should always strike a <b>match</b> away from you.	They bough two boxes of <b>matches</b>.	T
Cherry trees bloom in the <b>springtime</b>.	We planted bulbs to flower in <b>spring</b>.	T
He wiped his sweaty <b>palm</b>.	He wiped his sweaty <b>hand</b>.	T
Many elephants live on the <b>shores</b> of Lake Kariba.	The children pelted down the <b>bank</b>, over the bridge and along the path.	T
As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	That man was appointed as the new <b>coach</b>.	F
The island has long golden beaches fringed by <b>palm</b> trees.	He wiped his sweaty <b>palm</b>.	F
A narrow <b>band</b> of grass separated the greenhouse from the vegetable garden.	Serve dish with <b>strips</b> of fresh raw vegetables.	T
We're going to the airport by <b>bus</b>.	They need a new <b>trainer</b> for the young athletes.	F
He has also formed an exciting <b>ensemble</b> with several other musicians.	They were probably the most famous <b>ensemble</b> in the world.	T
Use that <b>stone</b> there to hold the door open.	I listen to country and <b>rock</b>.	F
We raised a lot of money last year and we're hoping to <b>equal</b> that this year.	A <b>game</b> consists of two halves lasting 45 minutes, meaning it is 90 minutes long.	F
The island has long golden beaches fringed by <b>oak</b> trees.	More than two-thirds of <b>palms</b> live in tropical forests.	F
I <b>lower</b> the head to hide my admiration.	I <b>raise</b> the head to hide my admiration.	F
Her weight <b>fell</b> to under seven stones.	Add the cream a few <b>drops</b> at a time..	F
Many elephants live on the <b>shores</b> of Lake Kariba.	Which <b>bank</b> offers you the service that best suits your financial needs?	F
I <b>raise</b> the head to hide my admiration.	He <b>ducked</b> in time to save his head from a blow from the poker.	F
Due to their physiology, <b>bats</b> are one type of animal that acts as a natural reservoir of many pathogens.	I accidentally bashed him with my <b>bat</b>.	F
It would be difficult to <b>match</b> the service this airline gives its customers.	He was watching a football <b>game</b>.	F
The country was without a <b>palace</b> after the queen died.	The country was without a <b>potentate</b> after the queen died.	F
We raised a lot of money last year and we're hoping to <b>equal</b> that this year.	Chelsea have a <b>match</b> with United next week.	F
That man was appointed as the new <b>coach</b>.	We're going to the airport by <b>coach</b>.	F
Cherry trees bloom in the <b>springtime</b>.	We planted bulbs to flower in <b>summer</b>.	F
When we reached the opposite <b>border</b>, the boat was sinking fast.	I used to work in the local branch of a large <b>bank</b>.	F
The <b>drakes</b> started quacking loudly when we threw them some bread.	Chickens and <b>ducks</b> scratch around the outbuildings.	T
The country was without a <b>palace</b> after the queen died.	The country was without a <b>ruler</b> after the queen died.	F
The <b>ducks</b> started quacking loudly when we threw them some bread.	I <b>lower</b> the head to hide my admiration.	F
Colonial rulers groomed and paid local <b>potentates</b>.	The country was without a <b>palace</b> after the queen died.	F
She showed me how to hold the <b>stick</b>.	Unlike a baseball <b>stick</b> a cricket one has an edge which is significantly sharper.	T
When we reached the opposite <b>bank</b>, the boat was sinking fast.	When we reached the opposite <b>border</b>, the boat was sinking fast.	T
He fixed it with three <b>tacks</b>.	Please stop biting your <b>nails</b>!	F
<b>Rulers</b> can be made of plastic, metal, and other materials.	Most <b>rulers</b> work by having numbers and little lines.	T
I used to work in the local branch of a large <b>college</b>.	How do credit unions differ from other <b>financial institutions</b>?	F
Both <b>springs</b> in the fuel pump were broken.	We planted bulbs to flower in <b>springtime</b>.	F
Huge waves crashed against the <b>rocks</b>.	She picked up a <b>stone</b> and threw it into the trees.	T
The <b>ducks</b> started quacking loudly when we threw them some bread.	I <b>duck</b> the head to hide my admiration.	F
Her weight <b>fell</b> to under seven stones.	Temperatures can <b>increase</b> to freezing at night.	F
I'm looking at a <b>ring</b> with a jewel attached to it.	He bought her an emerald <b>necklace</b>.	F
Unlike a baseball <b>stick</b> a cricket one has an edge which is significantly sharper.	<b>Bats</b> are more manoeuvrable than birds.	F
The country was without a <b>ruler</b> after the queen died.	<b>Rulers</b> can be made of plastic, metal, and other materials.	F
<b>Dolphins</b> are more manoeuvrable than birds.	<b>Bats</b> are more manoeuvrable than birds.	F
Cherry trees bloom in the <b>springtime</b>.	The cat wants to <b>spring</b> onto the sofa.	F
The cat wants to <b>spring</b> onto the sofa.	We planted bulbs to flower in <b>springtime</b>.	F
I used to work in the local branch of a large <b>financial institution</b>.	I used to work in the local branch of a large <b>college</b>.	F
