Target	POS	Context	Overlap	Sent1	Sent2	Sent3
banco	same|same|same	same|same|same	false|false|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	Aunque la cuenta esté vacía, el <b>cliente</b> sigue estando obligado a pagar la factura a final de mes.	
banco	same|same|same	diff|same|diff	true|false|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	La directora de este <b>banco</b> estudió economía en la universidad.	Aunque la cuenta esté vacía, el <b>cliente</b> sigue estando obligado a pagar la factura a final de mes.	
banco	same|same|same	diff|same|diff	false|false|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	¿Cuál es la <b>entidad financiera</b> más prestigiosa?	Aunque la cuenta esté vacía, el <b>cliente</b> sigue estando obligado a pagar la factura a final de mes.	
banco	same|same|same	diff|same|diff	false|false|false	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	La directora de este <b>banco</b> estudió economía en la universidad.	Aunque la cuenta esté vacía, el <b>cliente</b> sigue estando obligado a pagar la factura a final de mes.	
banco	same|same|same	diff|diff|diff	false|false|false	La directora de este <b>banco</b> estudió economía en la universidad.	¿Cuál es la <b>entidad financiera</b> más prestigiosa?	Aunque la cuenta esté vacía, el <b>cliente</b> sigue estando obligado a pagar la factura a final de mes.	
banco	same|same|same	diff|same|diff	true|false|false	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	¿Cuál es la <b>entidad financiera</b> más prestigiosa?	Aunque la cuenta esté vacía, el <b>cliente</b> sigue estando obligado a pagar la factura a final de mes.	
banco	same|same|same	same|same|same	false|false|false	El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|same|diff	true|false|false	El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|same|diff	false|false|false	El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	Dormía casi todas las noches en un <b>asiento</b> del patio.	El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|same|diff	false|false|false	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|diff|diff	false|false|false	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	Dormía casi todas las noches en un <b>asiento</b> del patio.	El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|same|diff	true|false|false	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	Dormía casi todas las noches en un <b>asiento</b> del patio.	El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	same|same|same	false|false|false	Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	Se detectaba el <b>conjunto</b> de sardina y se largaba la red rodeándolo.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	
banco	same|same|same	diff|same|diff	true|false|false	Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	
banco	same|same|same	diff|same|diff	false|false|false	Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	Había un gran <b>grupo</b> de peces nadando bajo el barco.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	
banco	same|same|same	diff|same|diff	false|false|false	Se detectaba el <b>conjunto</b> de sardina y se largaba la red rodeándolo.	Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	
banco	same|same|same	diff|diff|diff	false|false|false	Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	Había un gran <b>grupo</b> de peces nadando bajo el barco.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	
banco	same|same|same	diff|same|diff	false|false|false	Se detectaba el <b>conjunto</b> de sardina y se largaba la red rodeándolo.	Había un gran <b>grupo</b> de peces nadando bajo el barco.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	
banco	same|same|same	same|diff|diff	false|true|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	same|diff|diff	false|false|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	same|diff|diff	false|true|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	
banco	same|same|same	same|diff|diff	false|false|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	Dormía casi todas las noches en un <b>asiento</b> del patio.	
banco	same|same|same	diff|diff|diff	true|true|true	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	La directora de este <b>banco</b> estudió economía en la universidad.	El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|diff|diff	true|false|false	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	La directora de este <b>banco</b> estudió economía en la universidad.	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	
banco	same|same|same	diff|diff|diff	true|true|true	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	La directora de este <b>banco</b> estudió economía en la universidad.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	
