cálculo	Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	Un <b>cálculo</b> puede ser capaz de provocar un ataque doloroso.	T
acuerdo	Pensando en ellos me <b>acuerdo</b> de Martin Niemöller, aquel pastor protestante que había sido torturado.	Siempre que me acuesto me <b>acuerdo</b> de él.	T
conocer	Quiere <b>conocer</b> si se han casado.	Le gustaría <b>conocer</b> mejor a sus adversarios.	T
cálculo	Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	Con estos métodos se consigue mayor amplitud en la validez del <b>cálculo</b> teórico.	F
banco	La directora de este <b>banco</b> estudió economía en la universidad.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	F
manga	Le gusta mucho leer <b>manga</b> actual.	Pensaba que era más corto que la <b>manga</b> de un chaleco.	F
bancos	Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	F
banco	La directora de este <b>banco</b> estudió economía en la universidad.	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	T
bancos	Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	F
saber	Más importante todavía será el <b>saber</b> hermenéutico en la cultura judía precristiana.	Esta sopa tendría que <b>saber</b> más a ajo.	F
artículos	La tienda tiene una gran variedad de <b>artículos</b> antiguos y contemporáneos.	Son distribuidores y vendedores al por mayor de <b>artículos</b> de regalo y souvenir.	T
manga	Le gusta mucho leer <b>manga</b> actual.	Se acercó a su hija y le tiró de la <b>manga</b> para que no me rozara.	F
manga	Tienen una eslora de 119 metros, una <b>manga</b> de 12,4 y un calado de 5,4.	Se acercó a su hija y le tiró de la <b>manga</b> para que no me rozara.	F
piedra biliar	Una <b>piedra biliar</b> puede ser capaz de provocar un ataque doloroso.	La <b>piedra</b> en la vesícula le producía mucho malestar.	T
