Unha tenda de <b>artigos</b> de regalo.	Unha tenda de <b>obxectos</b> de regalo.	T
Para acompañar o xantar compramos un <b>molete</b> de quilo e medio.	Para acompañar o xantar compramos un <b>filete</b> de quilo e medio.	F
As <b>cozas</b> dos castiñeiros agromaban.	É importante darlles unha boa <b>coza</b> para que non rompan as bolas.	F
Esta orde vai <b>reforzar</b> as anteriores.	Esta orde vai <b>anular</b> as anteriores.	F
Achegouse a ela e pasoulle a man pola <b>queixada</b>.	Eu sempre me <b>queixo</b> do soldo, sobre todo cando os xefes andan á escoita.	F
Dez é o <b>duplo</b> de cinco. 	É un actor moi completo, nunca necesitou un <b>substituto</b>.	F
Puxo a sortella no <b>mediano</b> da man dereita.	Esta orde vai <b>anular</b> as anteriores.	F
Eu <b>acordo</b> todas as mañás antes das 7.	Por culpa da luz <b>acordo</b> moi cedo.	T
A espiga do trigo xa comeza a <b>apuntar</b>.	<b>Anotou</b> todos os números de teléfono na axenda.	F
Eran tantos que parecían un <b>banco</b> de xurelos.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	F
As <b>cozas</b> dos castiñeiros agromaban.	Saíron os bolos abecerrados por un defecto de <b>cocción</b>.	F
Eran tantos que parecían un <b>cardume</b> de xurelos.	Eran tantos que parecían <b>escamas</b> de xurelos.	F
Castigounos encerrados no seu <b>dormitorio</b>.	Naceu no segundo <b>cuartel</b> do século.	F
Unha tenda de <b>artigos</b> de regalo.	Tiña moitos <b>obxectos</b> nos estantes do seu comercio.	T
A <b>anchura</b> da nave era o que máis chamaba a atención.	Miña nai comprou un vestido sen <b>mangas</b> para levar á festa.	F
Os <b>cordeiros</b> desempeñan un oficio totalmente artesanal.	O <b>año</b> tamén é unha boa razón para tirar a rolla dun viño Syrah, así como as carnes de porco.	F
Rompeulle o lapis e non pode <b>apuntar</b> máis nada.	A espiga do trigo xa comeza a <b>aparecer</b>.	F
Para atraeren as robalizas iscaban <b>bolo</b> vivo.	En toda a tarde só pescaron dous <b>chocos</b> pequenos.	F
Meteu o <b>galo</b> no galiñeiro.	Meteu o <b>millo</b> no galiñeiro.	F
Sentamos nun <b>asento</b> do xardín.	Sentamos nun <b>banco</b> do xardín.	T
Ergueuse pola mañá cun <b>cabaleiro</b> no pescozo.	Ergueuse pola mañá cun <b>cabalo</b> no pescozo.	T
Todas as mañás o acordaba o canto dos <b>galos</b>.	Os <b>franceses</b> son amantes da boa cociña.	F
Sentamos nun <b>banco</b> do xardín.	Eran tantos que parecían un <b>cardume</b> de xurelos.	F
Unha tenda de <b>obxectos</b> de regalo.	Hoxe vén no xornal un <b>artigo</b> sobre o problema da droga.	F
A espiga do trigo xa comeza a <b>aparecer</b>.	A espiga do trigo xa comeza a <b>apuntar</b>.	T
Quen atopara unha fonte para calmar esta <b>secura</b>.	Vou á fonte por auga, que teño <b>sede</b>.	T
O <b>capón</b> andaba tras das polas.	Os <b>franceses</b> elixiron os seus representantes políticos.	F
O galeón navegaba con pouca <b>vela</b>.	O galeón navegaba con pouco <b>pano</b>.	T
O exército foi <b>agredir</b> un país estranxeiro.	Querían <b>observar</b> para despois roubar!	F
Leva un anel no <b>pé</b>.	Puxo a sortella no <b>mediano</b> da man dereita.	F
Dez é o <b>duplo</b> de cinco. 	É un actor moi completo, nunca necesitou un <b>dobre</b>.	F
As primeiras flores <b>apuntan</b> nesta época.	<b>Apuntou</b> todos os números de teléfono na axenda.	F
Eu sempre me <b>queixo</b> do soldo, sobre todo cando os xefes andan á escoita.	Achegouse a ela e pasoulle a man polo <b>queixo</b>.	F
Naceu no segundo <b>cuarto</b> do século.	Castigounos encerrados no seu <b>dormitorio</b>.	F
Viñan dous <b>xinetes</b> a galope pola chaira.	Da mala postura acabou collendo un <b>cabaleiro</b>.	F
Tivo varios <b>cálculos</b> biliares.	Ten que haber algún erro nos <b>cálculos</b> porque o resultado non é correcto.	F
Temos que chegar a un <b>bosque</b>.	Houbo un <b>pacto</b> entre o goberno e a oposición.	F
Un <b>cálculo</b> renal pode producir moita dor.	Quitáronlle unha <b>pedra</b> do ril.	T
Caeu e bateu co <b>queixelo</b> no chan.	Fomos a unhas xornadas gastronómicas do <b>queixo</b>.	F
Caeu e bateu co <b>queixelo</b> no chan.	Achegouse a ela e pasoulle a man polo <b>queixo</b>.	T
Canción de éxito da nosa <b>banda</b>.	Gústalle moito escoitar a este <b>grupo</b>.	T
A comida esta non me <b>sabe</b> nada.	A comida esta non me <b>agrada</b> nada.	T
Eu non me <b>laio</b> de que haxa cambios, que son imprescindibles, senón de que o estado de cousas que coñecemos non está evoluíndo ou "progresando".	Eu que me <b>alegro</b> sempre da falta de cultura de Lalín!	F
A <b>anchura</b> da nave era o que máis chamaba a atención.	Tomou un batido de <b>manga</b> moi cremoso.	F
Hoxe non é tan importante a produción de lá como antes e medrou en cambio a produción de carne de <b>cordeiro</b> e de leite para queixos.	Antes do <b>chourizo</b> compartimos unha ración de polbo e unha espectacular tortilla de pataca.	F
Ao moveres a cabeza quéixaste moito da dor que che dá ese <b>cabalo</b>!	Asento que se emprega para poñer nas costas do cabalo e sentar o <b>cabaleiro</b> con maior comodidade.	F
Eu que me <b>laio</b> sempre da falta de cultura de Lalín!	Achegouse a ela e pasoulle a man pola <b>queixada</b>.	F
Con 20 anos e a barba aínda non lle está a <b>aparecer</b>...	Tés que <b>anotar</b> todo o que eu che diga.	F
O camiño estase a <b>atacar</b> de lama coa enxurrada.	Con tanta terra o tubo vaise <b>manchar</b>.	F
Tivo varias <b>pedras</b> biliares.	Segundo os meus <b>cálculos</b> acabaremos en tres días.	F
Os <b>cordeiros</b> desempeñan un oficio totalmente artesanal.	Este <b>cordeiro</b> traballa moito con cánabo.	T
Leva un anel no <b>mediano</b>.	Esta orde vai <b>anular</b> as anteriores.	F
Meteu o fío pola <b>alfiestra</b> dunha agulla.	Eu <b>ollo</b> a xente feliz e reflíctome neles.	F
Envía todas as semanas un <b>texto</b> para publicar no xornal.	Publicou un <b>artigo</b> de opinión nunha revista dixital.	T
As <b>cepas</b> dos castiñeiros agromaban.	A figueira partiu pola <b>coza</b>.	T
Ergueuse pola mañá cun <b>mosquito</b> no pescozo.	Ergueuse pola mañá cun <b>cabaleiro</b> no pescozo.	F
As primeiras flores <b>apuntan</b> nesta época.	A espiga do trigo xa comeza a <b>apuntar</b>.	T
Meteu o <b>galo</b> no galiñeiro.	O <b>capón</b> andaba tras das polas.	T
Aprendeu a <b>cordeeiro</b> do seu pai.	Os <b>cordeeiros</b> desempeñan un oficio totalmente artesanal.	T
A <b>coza</b> do pan deixou un agradable cheiro na cociña.	A <b>codia</b> do pan deixou un agradable cheiro na cociña.	F
Meteu o <b>galo</b> no galiñeiro.	Os <b>franceses</b> son amantes da boa cociña.	F
Meteu o <b>millo</b> no galiñeiro.	Meteu o <b>capón</b> no galiñeiro.	F
