anular	Leva un anel no <b>anular</b>.	Esta orde vai <b>anular</b> as anteriores.	F
banco	Sentamos nun <b>banco</b> do xardín.	Antes de largar a arte cómpre localizar os <b>bancos</b> de peixe.	F
vela	O galeón navegaba con pouca <b>vela</b>.	O rapaz pasou toda a noite en <b>vela</b>.	F
manga	Botoulle <b>manga</b> á ensalada.	Mandou construir unha embarcación de maior <b>manga</b>.	F
ameixas	En Galicia existe evidencia de consumo de ostras, mexillóns e <b>ameixas</b> nestas terras xa dende o século IV antes de Cristo.	Un caldiño para soportar a febre e tomar froitas como o kiwi e <b>ameixas</b> para poñer fin ás dores abdominais por estrinximento.	F
anular	Leva un anel no <b>anular</b>.	O médico non che vai <b>anular</b> a consulta!	F
cabalo	Ao moveres a cabeza quéixaste moito da dor que che dá ese <b>cabalo</b>!	Ergueuse pola mañá cun <b>cabalo</b> no pescozo.	T
acordo	Por culpa da luz <b>acordo</b> moi cedo.	Temos que chegar a un <b>acordo</b>.	F
texto	Envía todas as semanas un <b>texto</b> para publicar no xornal.	Hoxe vén no xornal un <b>texto</b> sobre o problema da droga.	T
cordeiro	Este <b>cordeiro</b> traballa moito con cánabo.	Hoxe non é tan importante a produción de lá como antes e medrou en cambio a produción de carne de <b>cordeiro</b> e de leite para queixos.	F
pacto	Houbo un <b>pacto</b> entre o goberno e a oposición.	Temos que chegar a un <b>pacto</b>.	T
cozas	As <b>cozas</b> dos castiñeiros agromaban.	A figueira partiu pola <b>coza</b>.	T
laio	Eu que me <b>laio</b> sempre da falta de cultura de Lalín!	Eu non me <b>laio</b> de que haxa cambios, que son imprescindibles, senón de que o estado de cousas que coñecemos non está evoluíndo ou "progresando".	T
dobre	Dez é o <b>dobre</b> de cinco. 	O <b>dobre</b> é tan bo que chegará a ser o protagonista principal!	F
cabaleiro	Asento que se emprega para poñer nas costas do cabalo e sentar o <b>cabaleiro</b> con maior comodidade.	Viñan dous <b>cabaleiros</b> a galope pola chaira.	T
bancos	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	F
coza	A <b>coza</b> do pan deixou un agradable cheiro na cociña.	As <b>cozas</b> dos castiñeiros agromaban.	F
dobre	É un actor moi completo, nunca necesitou un <b>dobre</b>.	Dez é o <b>dobre</b> de cinco. 	F
manga	O petroleiro tiña vinte metros de <b>manga</b>.	Mandou construir unha embarcación de maior <b>manga</b>.	T
cordeiros	Os <b>cordeiros</b> desempeñan un oficio totalmente artesanal.	Este <b>cordeiro</b> traballa moito con cánabo.	T
dobre	É un actor moi completo, nunca necesitou un <b>dobre</b>.	As escenas máis perigosas fainas o <b>dobre</b>, para evitar riscos.	T
artigos	Unha tenda de <b>artigos</b> de regalo.	Naquel bazar había máis <b>artigos</b> que peixes no mar!	T
manga	Botoulle <b>manga</b> á ensalada.	O petroleiro tiña vinte metros de <b>manga</b>.	F
sabe	Se <b>sabe</b> o porqué da súa actitude, será por algo.	A comida esta non me <b>sabe</b> nada.	F
sede	Vai ter lugar a elección da próxima <b>sede</b> dos Xogos Olímpicos.	A calor e o esforzo producen <b>sede</b>.	F
galos	Todas as mañás o acordaba o canto dos <b>galos</b>.	Meteu o <b>galo</b> no galiñeiro.	T
cuarto	Naceu no segundo <b>cuarto</b> do século.	Voume atrasar un <b>cuarto</b> de hora.	T
queixo	Achegouse a ela e pasoulle a man polo <b>queixo</b>.	De sobremesa tomou <b>queixo</b> con marmelo.	F
ameixas	Houbo intres de gran felicidade cando eu era neno e iamos á da señora Munda apañar unhas <b>ameixas</b>... 	Un caldiño para soportar a febre e tomar froitas como o kiwi e <b>ameixas</b> para poñer fin ás dores abdominais por estrinximento.	T
queixo	De sobremesa tomou <b>queixo</b> con marmelo.	Eu sempre me <b>queixo</b> do soldo, sobre todo cando os xefes andan á escoita.	F
atacar	Querían <b>atacar</b> para despois roubar!	Aínda vai <b>atacar</b> aquel cano con tanta lama como baixa.	F
manga	Tomou un batido de <b>manga</b> moi cremoso.	As <b>mangas</b> desta camisa danme moita calor.	F
dobre	Dez é o <b>dobre</b> de cinco. 	As escenas máis perigosas fainas o <b>dobre</b>, para evitar riscos.	F
cálculo	Un <b>cálculo</b> renal pode producir moita dor.	Segundo os meus <b>cálculos</b> acabaremos en tres días.	F
coza	É importante darlles unha boa <b>coza</b> para que non rompan as bolas.	A <b>coza</b> do pan deixou un agradable cheiro na cociña.	T
cálculos	Tivo varios <b>cálculos</b> biliares.	Segundo os meus <b>cálculos</b> acabaremos en tres días.	F
cordeiro	Antes do <b>cordeiro</b> compartimos unha ración de polbo e unha espectacular tortilla de pataca.	Este <b>cordeiro</b> traballa moito con cánabo.	F
ameixas	Houbo intres de gran felicidade cando eu era neno e iamos á da señora Munda apañar unhas <b>ameixas</b>... 	Aprendín a nadar na antiga praia de Pontevedra, e reparei, aínda neno, na extraordinaria riqueza en <b>ameixas</b> e croques.	F
anular	Esta orde vai <b>anular</b> as anteriores.	O médico non che vai <b>anular</b> a consulta!	T
atacar	Mandara unha expedición para <b>atacar</b> os portos galegos.	Con tanta terra o tubo vaise <b>atacar</b>.	F
galos	Todas as mañás o acordaba o canto dos <b>galos</b>.	Os <b>galos</b> elixiron os seus representantes políticos.	F
bolo	Para atraeren as robalizas iscaban <b>bolo</b> vivo.	En toda a tarde só pescaron dous <b>bolos</b> pequenos.	T
queixo	Eu sempre me <b>queixo</b> do soldo, sobre todo cando os xefes andan á escoita.	Achegouse a ela e pasoulle a man polo <b>queixo</b>.	F
atacar	Querían <b>atacar</b> para despois roubar!	O camiño estase a <b>atacar</b> de lama coa enxurrada.	F
ollo	Hoxe eu <b>ollo</b> a noticia co ollar do escéptico que ten unha pregunta que non quere calar:	Eu <b>ollo</b> a xente feliz e reflíctome neles.	T
ollo	Meteu o fío polo <b>ollo</b> dunha agulla.	Eu <b>ollo</b> a xente feliz e reflíctome neles.	F
queixo	Fomos a unhas xornadas gastronómicas do <b>queixo</b>.	De sobremesa tomou <b>queixo</b> con marmelo.	T
molete	O <b>molete</b> tiña a codia un pouco dura.	Para acompañar o xantar compramos un <b>molete</b> de quilo e medio.	T
atacar	Mandara unha expedición para <b>atacar</b> os portos galegos.	Querían <b>atacar</b> para despois roubar!	T
coñece	Aínda non <b>coñece</b> o resultado.	Ela <b>coñece</b> o funcionamento da máquina.	T
cuarto	Voume atrasar un <b>cuarto</b> de hora.	Cambiou os mobles do <b>cuarto</b> dos nenos.	F
banda	Os xenerais utilizan unha <b>banda</b> vermella no seu traxe de gala.	Canción de éxito da nosa <b>banda</b>.	F
ameixas	En Galicia existe evidencia de consumo de ostras, mexillóns e <b>ameixas</b> nestas terras xa dende o século IV antes de Cristo.	Houbo intres de gran felicidade cando eu era neno e iamos á da señora Munda apañar unhas <b>ameixas</b>... 	F
grupo	Canción de éxito do noso <b>grupo</b>.	Gústalle moito escoitar a este <b>grupo</b>.	T
acordo	Despois de moito discutiren, chegaron a un completo <b>acordo</b>.	Por culpa da luz <b>acordo</b> moi cedo.	F
mangas	As <b>mangas</b> desta camisa danme moita calor.	Mandou construir unha embarcación de maior <b>manga</b>.	F
bancos	Antes de largar a arte cómpre localizar os <b>bancos</b> de peixe.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	F
cálculos	Ten que haber algún erro nos <b>cálculos</b> porque o resultado non é correcto.	Tivo varios <b>cálculos</b> biliares.	F
cálculos	Ten que haber algún erro nos <b>cálculos</b> porque o resultado non é correcto.	Un <b>cálculo</b> renal pode producir moita dor.	F
acordo	Temos que chegar a un <b>acordo</b>.	Eu <b>acordo</b> todas as mañás antes das 7.	F
cirolas	Un caldiño para soportar a febre e tomar froitas como o kiwi e <b>cirolas</b> para poñer fin ás dores abdominais por estrinximento.	Proba estas <b>cirolas</b> marelas.	T
mediano	Leva un anel no <b>mediano</b>.	Puxo a sortella no <b>mediano</b> da man dereita.	T
dobre	As escenas máis perigosas fainas o <b>dobre</b>, para evitar riscos.	O <b>dobre</b> é tan bo que chegará a ser o protagonista principal!	T
esperto	O meniño do veciño chora sempre ás seis da mañá, xusto na hora que eu <b>esperto</b> estes días.	Por culpa da luz <b>esperto</b> moi cedo.	T
anular	Doíalle moito o <b>anular</b> da man esquerda.	Leva un anel no <b>anular</b>.	T
galos	Os romanos temían seren atacados polos <b>galos</b> durante as súas invasións.	Todas as mañás o acordaba o canto dos <b>galos</b>.	F
sabe	Aínda non <b>sabe</b> o resultado.	Estas mazás <b>saben</b> que gorentan.	F
dobre	É un actor moi completo, nunca necesitou un <b>dobre</b>.	O <b>dobre</b> é tan bo que chegará a ser o protagonista principal!	T
cabaleiros	Viñan dous <b>cabaleiros</b> a galope pola chaira.	Da mala postura acabou collendo un <b>cabaleiro</b>.	F
vela	O rapaz pasou toda a noite en <b>vela</b>.	Despois de tres horas de <b>vela</b> foise deitar e adormeceu.	T
queixo	Eu sempre me <b>queixo</b> do soldo, sobre todo cando os xefes andan á escoita.	Fomos a unhas xornadas gastronómicas do <b>queixo</b>.	F
bolo	Encántalle comer o <b>bolo</b> de pan antes da sopa.	Para acompañar o xantar compramos un <b>bolo</b> de quilo e medio.	T
apuntar	Rompeulle o lapis e non pode <b>apuntar</b> máis nada.	A espiga do trigo xa comeza a <b>apuntar</b>.	F
ameixas	Aprendín a nadar na antiga praia de Pontevedra, e reparei, aínda neno, na extraordinaria riqueza en <b>ameixas</b> e croques.	En Galicia existe evidencia de consumo de ostras, mexillóns e <b>ameixas</b> nestas terras xa dende o século IV antes de Cristo.	T
obxectos	Tiña moitos <b>obxectos</b> nos estantes do seu comercio.	Unha tenda de <b>obxectos</b> de regalo.	T
vela	O galeón navegaba con pouca <b>vela</b>.	O forte vento enchía a <b>vela</b> daquela dorna.	T
banco	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Metín os cartos no <b>banco</b>.	F
artigo	Hoxe vén no xornal un <b>artigo</b> sobre o problema da droga.	Unha tenda de <b>artigos</b> de regalo.	F
atacar	Querían <b>atacar</b> para despois roubar!	Con tanta terra o tubo vaise <b>atacar</b>.	F
sabe	Aínda non <b>sabe</b> o resultado.	A comida esta non me <b>sabe</b> nada.	F
dobre	É un actor moi completo, nunca necesitou un <b>dobre</b>.	Ten o <b>dobre</b> de anos ca min. 	F
atacar	Mandara unha expedición para <b>atacar</b> os portos galegos.	Aínda vai <b>atacar</b> aquel cano con tanta lama como baixa.	F
ollo	Meteu o fío polo <b>ollo</b> dunha agulla.	O alento ten como única vía de saída un orificio do tamaño do <b>ollo</b> dunha agulla.	T
ollo	O alento ten como única vía de saída un orificio do tamaño do <b>ollo</b> dunha agulla.	Hoxe eu <b>ollo</b> a noticia co ollar do escéptico que ten unha pregunta que non quere calar:	F
sabe	Se <b>sabe</b> o porqué da súa actitude, será por algo.	Aínda non <b>sabe</b> o resultado.	T
artigo	Publicou un <b>artigo</b> de opinión nunha revista dixital.	Naquel bazar había máis <b>artigos</b> que peixes no mar!	F
anular	O médico non che vai <b>anular</b> a consulta!	Doíalle moito o <b>anular</b> da man esquerda.	F
banco	Sentamos nun <b>banco</b> do xardín.	Eran tantos que parecían un <b>banco</b> de xurelos.	F
manga	Botoulle <b>manga</b> á ensalada.	Tomou un batido de <b>manga</b> moi cremoso.	T
cuarto	Voume atrasar un <b>cuarto</b> de hora.	Chegou tan cansado que foi directo para o <b>cuarto</b>.	F
manga	Tomou un batido de <b>manga</b> moi cremoso.	Mandou construir unha embarcación de maior <b>manga</b>.	F
banco	Metín os cartos no <b>banco</b>.	Antes de largar a arte cómpre localizar os <b>bancos</b> de peixe.	F
queixo	De sobremesa tomou <b>queixo</b> con marmelo.	Eu que me <b>queixo</b> sempre da falta de cultura de Lalín!	F
pedras	Tivo varias <b>pedras</b> biliares.	Quitáronlle unha <b>pedra</b> do ril.	T
vela	Despois de tres horas de <b>vela</b> foise deitar e adormeceu.	Cómpre reparar o <b>velame</b> despois dunha viaxe tan longa.	F
banda	Os xenerais utilizan unha <b>banda</b> vermella no seu traxe de gala.	A etiqueta da botella ten unha <b>banda</b> diagonal.	T
queixo	Eu que me <b>queixo</b> sempre da falta de cultura de Lalín!	Achegouse a ela e pasoulle a man polo <b>queixo</b>.	F
cuartel	Naceu no segundo <b>cuartel</b> do século.	O poeta escribiu no terceiro <b>cuartel</b> do século XIII.	T
cuarto	Cambiou os mobles do <b>cuarto</b> dos nenos.	Chegou tan cansado que foi directo para o <b>cuarto</b>.	T
vela	O galeón navegaba con pouca <b>vela</b>.	Cómpre reparar o <b>velame</b> despois dunha viaxe tan longa.	T
asento	Sentamos nun <b>asento</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	T
ameixas	Un caldiño para soportar a febre e tomar froitas como o kiwi e <b>ameixas</b> para poñer fin ás dores abdominais por estrinximento.	Aprendín a nadar na antiga praia de Pontevedra, e reparei, aínda neno, na extraordinaria riqueza en <b>ameixas</b> e croques.	F
vela	O rapaz pasou toda a noite en <b>vela</b>.	O forte vento enchía a <b>vela</b> daquela dorna.	F
artigo	Publicou un <b>artigo</b> de opinión nunha revista dixital.	Unha tenda de <b>artigos</b> de regalo.	F
fitas	Levaba no pelo <b>fitas</b> de cores.	Os xenerais utilizan unha <b>fita</b> vermella no seu traxe de gala.	T
mangas	As <b>mangas</b> desta camisa danme moita calor.	O petroleiro tiña vinte metros de <b>manga</b>.	F
cabaleiro	Da mala postura acabou collendo un <b>cabaleiro</b>.	Ergueuse pola mañá cun <b>cabaleiro</b> no pescozo.	T
