Target	POS	Context	Overlap	Sent1	Sent2	Sent3
coach	same|same|same	same|same|same	false|false|false	We're going to the airport by <b>coach</b>.	We're going to the airport by <b>bus</b>.	We're going to the airport by <b>bicycle</b>.	
coach	same|same|same	diff|same|diff	true|false|false	We're going to the airport by <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	We're going to the airport by <b>bicycle</b>.	
coach	same|same|same	diff|same|diff	false|false|false	We're going to the airport by <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	We're going to the airport by <b>bicycle</b>.	
coach	same|same|same	diff|same|diff	false|false|false	We're going to the airport by <b>bus</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	We're going to the airport by <b>bicycle</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They had to travel everywhere by <b>bus</b>.	We're going to the airport by <b>bicycle</b>.	
coach	same|same|same	diff|same|diff	true|false|false	We're going to the airport by <b>bus</b>.	They had to travel everywhere by <b>bus</b>.	We're going to the airport by <b>bicycle</b>.	
coach	same|same|same	same|same|same	false|false|false	That man was appointed as the new <b>coach</b>.	That man was appointed as the new <b>trainer</b>.	That man was appointed as the new <b>president</b>.	
coach	same|same|same	diff|same|diff	true|false|false	That man was appointed as the new <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	That man was appointed as the new <b>president</b>.	
coach	same|same|same	diff|same|diff	false|false|false	That man was appointed as the new <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	That man was appointed as the new <b>president</b>.	
coach	same|same|same	diff|same|diff	false|false|false	That man was appointed as the new <b>trainer</b>.	She has recently joined the amateur team as <b>coach</b>.	That man was appointed as the new <b>president</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	She has recently joined the amateur team as <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	That man was appointed as the new <b>president</b>.	
coach	same|same|same	diff|same|diff	true|false|false	That man was appointed as the new <b>trainer</b>.	They need a new <b>trainer</b> for the young athletes.	That man was appointed as the new <b>president</b>.	
coach	same|same|same	same|diff|diff	false|true|false	We're going to the airport by <b>coach</b>.	We're going to the airport by <b>bus</b>.	That man was appointed as the new <b>coach</b>.	
coach	same|same|same	same|diff|diff	false|false|false	We're going to the airport by <b>coach</b>.	We're going to the airport by <b>bus</b>.	That man was appointed as the new <b>trainer</b>.	
coach	same|same|same	same|diff|diff	false|true|false	We're going to the airport by <b>coach</b>.	We're going to the airport by <b>bus</b>.	She has recently joined the amateur team as <b>coach</b>.	
coach	same|same|same	same|diff|diff	false|false|false	We're going to the airport by <b>coach</b>.	We're going to the airport by <b>bus</b>.	They need a new <b>trainer</b> for the young athletes.	
coach	same|same|same	diff|diff|diff	true|true|true	We're going to the airport by <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	That man was appointed as the new <b>coach</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	We're going to the airport by <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	That man was appointed as the new <b>trainer</b>.	
coach	same|same|same	diff|diff|diff	true|true|true	We're going to the airport by <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	She has recently joined the amateur team as <b>coach</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	We're going to the airport by <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They need a new <b>trainer</b> for the young athletes.	
coach	same|same|same	diff|diff|diff	false|true|false	We're going to the airport by <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	That man was appointed as the new <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	We're going to the airport by <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	That man was appointed as the new <b>trainer</b>.	
coach	same|same|same	diff|diff|diff	false|true|false	We're going to the airport by <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	She has recently joined the amateur team as <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	We're going to the airport by <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	They need a new <b>trainer</b> for the young athletes.	
coach	same|same|same	diff|diff|diff	false|false|true	We're going to the airport by <b>bus</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	That man was appointed as the new <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	We're going to the airport by <b>bus</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	That man was appointed as the new <b>trainer</b>.	
coach	same|same|same	diff|diff|diff	false|false|true	We're going to the airport by <b>bus</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	She has recently joined the amateur team as <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	We're going to the airport by <b>bus</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They need a new <b>trainer</b> for the young athletes.	
coach	same|same|same	diff|diff|diff	true|false|false	We're going to the airport by <b>bus</b>.	They had to travel everywhere by <b>bus</b>.	That man was appointed as the new <b>coach</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	We're going to the airport by <b>bus</b>.	They had to travel everywhere by <b>bus</b>.	That man was appointed as the new <b>trainer</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	We're going to the airport by <b>bus</b>.	They had to travel everywhere by <b>bus</b>.	She has recently joined the amateur team as <b>coach</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	We're going to the airport by <b>bus</b>.	They had to travel everywhere by <b>bus</b>.	They need a new <b>trainer</b> for the young athletes.	
coach	same|same|same	diff|diff|diff	false|true|false	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They had to travel everywhere by <b>bus</b>.	That man was appointed as the new <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They had to travel everywhere by <b>bus</b>.	That man was appointed as the new <b>trainer</b>.	
coach	same|same|same	diff|diff|diff	false|true|false	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They had to travel everywhere by <b>bus</b>.	She has recently joined the amateur team as <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	They had to travel everywhere by <b>bus</b>.	They need a new <b>trainer</b> for the young athletes.	
coach	same|same|same	same|diff|diff	false|true|false	That man was appointed as the new <b>coach</b>.	That man was appointed as the new <b>trainer</b>.	We're going to the airport by <b>coach</b>.	
coach	same|same|same	same|diff|diff	false|false|false	That man was appointed as the new <b>coach</b>.	That man was appointed as the new <b>trainer</b>.	We're going to the airport by <b>bus</b>.	
coach	same|same|same	same|diff|diff	false|true|false	That man was appointed as the new <b>coach</b>.	That man was appointed as the new <b>trainer</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	
coach	same|same|same	same|diff|diff	false|false|false	That man was appointed as the new <b>coach</b>.	That man was appointed as the new <b>trainer</b>.	They had to travel everywhere by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	true|true|true	That man was appointed as the new <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	We're going to the airport by <b>coach</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	That man was appointed as the new <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	We're going to the airport by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	true|true|true	That man was appointed as the new <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	
coach	same|same|same	diff|diff|diff	true|false|false	That man was appointed as the new <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	false|true|false	That man was appointed as the new <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	We're going to the airport by <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	That man was appointed as the new <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	We're going to the airport by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	false|true|false	That man was appointed as the new <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	
coach	same|same|same	diff|diff|diff	false|false|false	That man was appointed as the new <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	They had to travel everywhere by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	false|false|true	That man was appointed as the new <b>trainer</b>.	She has recently joined the amateur team as <b>coach</b>.	We're going to the airport by <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	That man was appointed as the new <b>trainer</b>.	She has recently joined the amateur team as <b>coach</b>.	We're going to the airport by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	false|false|true	That man was appointed as the new <b>trainer</b>.	She has recently joined the amateur team as <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	
coach	same|same|same	diff|diff|diff	false|false|false	That man was appointed as the new <b>trainer</b>.	She has recently joined the amateur team as <b>coach</b>.	They had to travel everywhere by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	That man was appointed as the new <b>trainer</b>.	They need a new <b>trainer</b> for the young athletes.	We're going to the airport by <b>coach</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	That man was appointed as the new <b>trainer</b>.	They need a new <b>trainer</b> for the young athletes.	We're going to the airport by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	true|false|false	That man was appointed as the new <b>trainer</b>.	They need a new <b>trainer</b> for the young athletes.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	
coach	same|same|same	diff|diff|diff	true|false|false	That man was appointed as the new <b>trainer</b>.	They need a new <b>trainer</b> for the young athletes.	They had to travel everywhere by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	false|true|false	She has recently joined the amateur team as <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	We're going to the airport by <b>coach</b>.	
coach	same|same|same	diff|diff|diff	false|false|false	She has recently joined the amateur team as <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	We're going to the airport by <b>bus</b>.	
coach	same|same|same	diff|diff|diff	false|true|false	She has recently joined the amateur team as <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	
coach	same|same|same	diff|diff|diff	false|false|false	She has recently joined the amateur team as <b>coach</b>.	They need a new <b>trainer</b> for the young athletes.	They had to travel everywhere by <b>bus</b>.	
bank	same|same|same	same|same|same	false|false|false	I used to work in the local branch of a large <b>bank</b>.	I used to work in the local branch of a large <b>financial institution</b>.	I used to work in the local branch of a large <b>college</b>.	
bank	same|same|same	diff|same|diff	true|false|false	I used to work in the local branch of a large <b>bank</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	I used to work in the local branch of a large <b>college</b>.	
bank	same|same|same	diff|same|diff	false|false|false	I used to work in the local branch of a large <b>bank</b>.	How do credit unions differ from other <b>financial institutions</b>?	I used to work in the local branch of a large <b>college</b>.	
bank	same|same|same	diff|same|diff	false|false|false	I used to work in the local branch of a large <b>financial institution</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	I used to work in the local branch of a large <b>college</b>.	
bank	same|same|same	diff|diff|diff	false|false|false	Which <b>bank</b> offers you the service that best suits your financial needs?	How do credit unions differ from other <b>financial institutions</b>?	I used to work in the local branch of a large <b>college</b>.	
bank	same|same|same	diff|same|diff	true|false|false	I used to work in the local branch of a large <b>financial institution</b>.	How do credit unions differ from other <b>financial institutions</b>?	I used to work in the local branch of a large <b>college</b>.	
bank	same|same|same	same|same|same	false|false|false	When we reached the opposite <b>bank</b>, the boat was sinking fast.	When we reached the opposite <b>border</b>, the boat was sinking fast.	When we reached the opposite <b>wall</b>, the boat was sinking fast.	
bank	same|same|same	diff|same|diff	true|false|false	When we reached the opposite <b>bank</b>, the boat was sinking fast.	The children pelted down the <b>bank</b>, over the bridge and along the path.	When we reached the opposite <b>wall</b>, the boat was sinking fast.	
bank	same|same|same	diff|same|diff	false|false|false	When we reached the opposite <b>bank</b>, the boat was sinking fast.	Many elephants live on the <b>shores</b> of Lake Kariba.	When we reached the opposite <b>wall</b>, the boat was sinking fast.	
bank	same|same|same	diff|same|diff	false|false|false	When we reached the opposite <b>border</b>, the boat was sinking fast.	The children pelted down the <b>bank</b>, over the bridge and along the path.	When we reached the opposite <b>wall</b>, the boat was sinking fast.	
bank	same|same|same	diff|diff|diff	false|false|false	The children pelted down the <b>bank</b>, over the bridge and along the path.	Many elephants live on the <b>shores</b> of Lake Kariba.	When we reached the opposite <b>wall</b>, the boat was sinking fast.	
bank	same|same|same	diff|same|diff	false|false|false	When we reached the opposite <b>border</b>, the boat was sinking fast.	Many elephants live on the <b>shores</b> of Lake Kariba.	When we reached the opposite <b>wall</b>, the boat was sinking fast.	
bank	same|same|same	same|diff|diff	false|true|false	I used to work in the local branch of a large <b>bank</b>.	I used to work in the local branch of a large <b>financial institution</b>.	When we reached the opposite <b>bank</b>, the boat was sinking fast.	
bank	same|same|same	same|diff|diff	false|false|false	I used to work in the local branch of a large <b>bank</b>.	I used to work in the local branch of a large <b>financial institution</b>.	When we reached the opposite <b>border</b>, the boat was sinking fast.	
bank	same|same|same	same|diff|diff	false|true|false	I used to work in the local branch of a large <b>bank</b>.	I used to work in the local branch of a large <b>financial institution</b>.	The children pelted down the <b>bank</b>, over the bridge and along the path.	
bank	same|same|same	same|diff|diff	false|false|false	I used to work in the local branch of a large <b>bank</b>.	I used to work in the local branch of a large <b>financial institution</b>.	Many elephants live on the <b>shores</b> of Lake Kariba.	
bank	same|same|same	diff|diff|diff	true|true|true	I used to work in the local branch of a large <b>bank</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	When we reached the opposite <b>bank</b>, the boat was sinking fast.	
bank	same|same|same	diff|diff|diff	true|false|false	I used to work in the local branch of a large <b>bank</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	When we reached the opposite <b>border</b>, the boat was sinking fast.	
bank	same|same|same	diff|diff|diff	true|true|true	I used to work in the local branch of a large <b>bank</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	The children pelted down the <b>bank</b>, over the bridge and along the path.	
bank	same|same|same	diff|diff|diff	true|false|false	I used to work in the local branch of a large <b>bank</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	Many elephants live on the <b>shores</b> of Lake Kariba.	
