Target	POS	Context	Overlap	Sent1	Sent2	Sent3
banco	same|same|same	same|same|same	false|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Hoje eu não tenho mais relação com o <b>professor</b>, pois minha conta é digital.	
banco	same|same|same	diff|same|diff	true|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	Hoje eu não tenho mais relação com o <b>professor</b>, pois minha conta é digital.	
banco	same|same|same	diff|same|diff	false|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Hoje eu não tenho mais relação com o <b>professor</b>, pois minha conta é digital.	
banco	same|same|same	diff|same|diff	false|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	Hoje eu não tenho mais relação com o <b>professor</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|false|false	Ele era ex-governador do <b>banco</b> central.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Hoje eu não tenho mais relação com o <b>professor</b>, pois minha conta é digital.	
banco	same|same|same	diff|same|diff	true|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Hoje eu não tenho mais relação com o <b>professor</b>, pois minha conta é digital.	
banco	same|same|same	same|same|same	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>porta-luvas</b> do passageiro dianteiro.	
banco	same|same|same	diff|same|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	A carrinha continha um esconderijo de armas e munições no <b>porta-luvas</b> do passageiro dianteiro.	
banco	same|same|same	diff|same|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	A carrinha continha um esconderijo de armas e munições no <b>porta-luvas</b> do passageiro dianteiro.	
banco	same|same|same	diff|same|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	A carrinha continha um esconderijo de armas e munições no <b>porta-luvas</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|false|false	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	A carrinha continha um esconderijo de armas e munições no <b>porta-luvas</b> do passageiro dianteiro.	
banco	same|same|same	diff|same|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	A carrinha continha um esconderijo de armas e munições no <b>porta-luvas</b> do passageiro dianteiro.	
banco	same|same|same	same|diff|diff	false|true|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	
banco	same|same|same	same|diff|diff	false|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	
