Target	POS	Context	Overlap	Sent1	Sent2	Sent3
banco	same|same|same	same|same|same	false|false|false	Sentamos nun <b>banco</b> do xardín.	Sentamos nun <b>asento</b> do xardín.	Sentamos nun <b>lado</b> do xardín.	
banco	same|same|same	diff|same|diff	true|false|false	Sentamos nun <b>banco</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Sentamos nun <b>lado</b> do xardín.	
banco	same|same|same	diff|same|diff	false|false|false	Sentamos nun <b>banco</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Sentamos nun <b>lado</b> do xardín.	
banco	same|same|same	diff|same|diff	false|false|false	Sentamos nun <b>asento</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Sentamos nun <b>lado</b> do xardín.	
banco	same|same|same	diff|diff|diff	false|false|false	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Este <b>asento</b> de pedra é algo incómodo.	Sentamos nun <b>lado</b> do xardín.	
banco	same|same|same	diff|same|diff	true|false|false	Sentamos nun <b>asento</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Sentamos nun <b>lado</b> do xardín.	
banco	same|same|same	same|same|same	false|false|false	Metín os cartos no <b>banco</b>.	Metín os cartos na <b>caixa de aforros</b>.	Metín os cartos no <b>bolso</b>.	
banco	same|same|same	diff|same|diff	true|false|false	Metín os cartos no <b>banco</b>.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Metín os cartos no <b>bolso</b>.	
banco	same|same|same	diff|same|diff	false|false|false	Metín os cartos no <b>banco</b>.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	Metín os cartos no <b>bolso</b>.	
banco	same|same|same	diff|same|diff	false|false|false	Metín os cartos na <b>caixa de aforros</b>.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Metín os cartos no <b>bolso</b>.	
banco	same|same|same	diff|diff|diff	false|false|false	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	Metín os cartos no <b>bolso</b>.	
banco	same|same|same	diff|same|diff	false|false|false	Metín os cartos na <b>caixa de aforros</b>.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	Metín os cartos no <b>bolso</b>.	
banco	same|same|same	same|same|same	false|false|false	Eran tantos que parecían un <b>banco</b> de xurelos.	Eran tantos que parecían un <b>cardume</b> de xurelos.	Eran tantos que parecían <b>escamas</b> de xurelos.	
banco	same|same|same	diff|same|diff	true|false|false	Eran tantos que parecían un <b>banco</b> de xurelos.	Antes de largar a arte cómpre localizar os <b>bancos</b> de peixe.	Eran tantos que parecían <b>escamas</b> de xurelos.	
banco	same|same|same	diff|same|diff	false|false|false	Eran tantos que parecían un <b>banco</b> de xurelos.	Desde a rocha víanse pequenos <b>cardumes</b> de robaliza.	Eran tantos que parecían <b>escamas</b> de xurelos.	
banco	same|same|same	diff|same|diff	false|false|false	Eran tantos que parecían un <b>cardume</b> de xurelos.	Antes de largar a arte cómpre localizar os <b>bancos</b> de peixe.	Eran tantos que parecían <b>escamas</b> de xurelos.	
banco	same|same|same	diff|diff|diff	false|false|false	Antes de largar a arte cómpre localizar os <b>bancos</b> de peixe.	Desde a rocha víanse pequenos <b>cardumes</b> de robaliza.	Eran tantos que parecían <b>escamas</b> de xurelos.	
banco	same|same|same	diff|same|diff	true|false|false	Eran tantos que parecían un <b>cardume</b> de xurelos.	Desde a rocha víanse pequenos <b>cardumes</b> de robaliza.	Eran tantos que parecían <b>escamas</b> de xurelos.	
banco	same|same|same	same|diff|diff	false|true|false	Sentamos nun <b>banco</b> do xardín.	Sentamos nun <b>asento</b> do xardín.	Metín os cartos no <b>banco</b>.	
banco	same|same|same	same|diff|diff	false|false|false	Sentamos nun <b>banco</b> do xardín.	Sentamos nun <b>asento</b> do xardín.	Metín os cartos na <b>caixa de aforros</b>.	
banco	same|same|same	same|diff|diff	false|true|false	Sentamos nun <b>banco</b> do xardín.	Sentamos nun <b>asento</b> do xardín.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	
banco	same|same|same	same|diff|diff	false|false|false	Sentamos nun <b>banco</b> do xardín.	Sentamos nun <b>asento</b> do xardín.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	
banco	same|same|same	diff|diff|diff	true|true|true	Sentamos nun <b>banco</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Metín os cartos no <b>banco</b>.	
banco	same|same|same	diff|diff|diff	true|false|false	Sentamos nun <b>banco</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Metín os cartos na <b>caixa de aforros</b>.	
banco	same|same|same	diff|diff|diff	true|true|true	Sentamos nun <b>banco</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	
banco	same|same|same	diff|diff|diff	true|false|false	Sentamos nun <b>banco</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	
banco	same|same|same	diff|diff|diff	false|true|false	Sentamos nun <b>banco</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Metín os cartos no <b>banco</b>.	
banco	same|same|same	diff|diff|diff	false|false|false	Sentamos nun <b>banco</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Metín os cartos na <b>caixa de aforros</b>.	
banco	same|same|same	diff|diff|diff	false|true|false	Sentamos nun <b>banco</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	
banco	same|same|same	diff|diff|diff	false|false|false	Sentamos nun <b>banco</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	
banco	same|same|same	diff|diff|diff	false|false|true	Sentamos nun <b>asento</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Metín os cartos no <b>banco</b>.	
banco	same|same|same	diff|diff|diff	false|false|false	Sentamos nun <b>asento</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Metín os cartos na <b>caixa de aforros</b>.	
banco	same|same|same	diff|diff|diff	false|false|true	Sentamos nun <b>asento</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	
banco	same|same|same	diff|diff|diff	false|false|false	Sentamos nun <b>asento</b> do xardín.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	
banco	same|same|same	diff|diff|diff	true|false|false	Sentamos nun <b>asento</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Metín os cartos no <b>banco</b>.	
banco	same|same|same	diff|diff|diff	true|false|false	Sentamos nun <b>asento</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Metín os cartos na <b>caixa de aforros</b>.	
banco	same|same|same	diff|diff|diff	true|false|false	Sentamos nun <b>asento</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	
banco	same|same|same	diff|diff|diff	true|false|false	Sentamos nun <b>asento</b> do xardín.	Este <b>asento</b> de pedra é algo incómodo.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	
banco	same|same|same	diff|diff|diff	false|true|false	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Este <b>asento</b> de pedra é algo incómodo.	Metín os cartos no <b>banco</b>.	
banco	same|same|same	diff|diff|diff	false|false|false	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Este <b>asento</b> de pedra é algo incómodo.	Metín os cartos na <b>caixa de aforros</b>.	
banco	same|same|same	diff|diff|diff	false|true|false	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Este <b>asento</b> de pedra é algo incómodo.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	
banco	same|same|same	diff|diff|diff	false|false|false	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	Este <b>asento</b> de pedra é algo incómodo.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	
banco	same|same|same	same|diff|diff	false|true|false	Metín os cartos no <b>banco</b>.	Metín os cartos na <b>caixa de aforros</b>.	Sentamos nun <b>banco</b> do xardín.	
banco	same|same|same	same|diff|diff	false|false|false	Metín os cartos no <b>banco</b>.	Metín os cartos na <b>caixa de aforros</b>.	Sentamos nun <b>asento</b> do xardín.	
banco	same|same|same	same|diff|diff	false|true|false	Metín os cartos no <b>banco</b>.	Metín os cartos na <b>caixa de aforros</b>.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	
banco	same|same|same	same|diff|diff	false|false|false	Metín os cartos no <b>banco</b>.	Metín os cartos na <b>caixa de aforros</b>.	Este <b>asento</b> de pedra é algo incómodo.	
banco	same|same|same	diff|diff|diff	true|true|true	Metín os cartos no <b>banco</b>.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Sentamos nun <b>banco</b> do xardín.	
banco	same|same|same	diff|diff|diff	true|false|false	Metín os cartos no <b>banco</b>.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Sentamos nun <b>asento</b> do xardín.	
banco	same|same|same	diff|diff|diff	true|true|true	Metín os cartos no <b>banco</b>.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Tamén se instalou un gran <b>banco</b> de madeira no frontal e unha bancada aproveitando o muro de separación da zona do estanque da rúa.	
banco	same|same|same	diff|diff|diff	true|false|false	Metín os cartos no <b>banco</b>.	Nesta vila hai moitos <b>bancos</b> para gardar os aforros.	Este <b>asento</b> de pedra é algo incómodo.	
banco	same|same|same	diff|diff|diff	false|true|false	Metín os cartos no <b>banco</b>.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	Sentamos nun <b>banco</b> do xardín.	
banco	same|same|same	diff|diff|diff	false|false|false	Metín os cartos no <b>banco</b>.	Unha consumidora acudiu a unha <b>entidade financeira</b> para solicitar un préstamo e foille denegado por falta de solvencia.	Sentamos nun <b>asento</b> do xardín.	
